net,length_um
io_in[15],4438.28
io_oeb[14],4388.44
io_out[14],4313.4
io_in[14],4265.24
io_out[15],4222.68
io_oeb[13],4217.08
io_out[13],4144.28
io_oeb[15],4113.48
io_in[13],4078.2
io_oeb[12],4028.92
io_in[16],3993.08
io_out[12],3956.12
io_in[12],3903.48
io_out[16],3867.08
io_oeb[11],3857.56
io_out[11],3784.76
io_oeb[16],3765.72
io_in[11],3728.76
io_oeb[10],3686.76
io_in[17],3637.48
io_out[10],3604.44
io_in[10],3554.04
io_in[0],3543.96
io_oeb[9],3514.84
io_out[17],3507
io_out[0],3451.56
io_out[9],3429.72
io_oeb[17],3406.2
io_in[9],3391.64
io_oeb[0],3391.64
io_oeb[8],3331.16
io_in[1],3326.12
io_in[18],3294.2
io_out[8],3255
io_out[1],3242.12
io_oeb[1],3238.2
io_in[8],3220.28
io_out[18],3165.96
io_oeb[7],3154.2
io_in[2],3089.94
io_out[7],3082.52
io_oeb[18],3052.28
io_oeb[2],3034.44
io_in[7],3032.12
io_out[2],3005.43
io_oeb[6],2986.2
io_in[19],2924.04
io_in[3],2917.88
io_out[6],2907.8
io_in[24],2906.68
io_oeb[23],2878.12
io_in[6],2860.76
io_out[3],2856.28
io_out[24],2850.68
io_oeb[5],2813.16
io_out[19],2810.36
io_out[23],2790.2
io_oeb[24],2773.4
io_out[5],2737.56
io_oeb[3],2725.43
io_in[25],2718.52
io_oeb[19],2706.76
io_in[5],2689.4
io_oeb[4],2668.12
io_out[25],2663.64
io_in[4],2657.06
io_in[23],2649.64
io_out[4],2590.89
io_oeb[25],2585.24
io_in[20],2578.52
io_in[26],2529.24
io_oeb[22],2524.2
io_out[26],2475.48
io_out[20],2443.56
io_out[22],2423.4
io_oeb[26],2397.08
io_oeb[20],2351.16
io_in[27],2342.24
io_out[27],2320.92
io_in[22],2295.16
io_in[21],2220.68
io_oeb[27],2207.8
io_oeb[21],2169.16
io_in[28],2154.04
io_out[21],2147.32
io_out[28],2099.16
io_oeb[37],2090.34
io_oeb[28],2020.76
io_out[37],1983.8
io_in[29],1965.88
io_out[29],1916.6
io_in[37],1903.81
io_out[36],1838.2
io_oeb[29],1832.6
io_oeb[36],1807.45
io_in[30],1776.6
io_out[30],1767.64
io_in[36],1656.9
io_oeb[30],1644.44
io_oeb[35],1611.96
io_out[35],1589.56
io_in[31],1588.44
io_out[31],1534.68
io_oeb[31],1456.28
io_in[35],1451.8
io_in[32],1400.32
io_oeb[34],1383.48
io_out[32],1347.64
io_out[34],1273.72
io_oeb[32],1267
io_in[33],1213.24
io_in[34],1180.95
wbs_sel_i[3],1175.16
io_out[33],1157.24
io_oeb[33],1105.91
wbs_sel_i[2],1085
wbs_sel_i[1],994.84
wbs_sel_i[0],904.68
wbs_we_i,814.52
wb_rst_i,741.16
wb_clk_i,605.64
